Rankings	Company	Industry
396.	Haier Smart Home	Consumer Durables
398.	Eaton	Capital Goods
399.	SK	Oil & Gas Operations
400.	Johnson Controls International	Business Services & Supplies
401.	JBS	Food, Drink & Tobacco
402.	Saudi Telecom	Telecommunications Services
403.	Jardine Matheson	Conglomerates
404.	Canadian National Railway	Transportation and Logistics
405.	Stryker	Health Care Equipment & Services
406.	Nokia	Telecommunications Services, Cable Supplier
407.	Mitsubishi Electric	Capital Goods
408.	Nissan Motor	Consumer Durables
409.	Tata Steel	Materials
410.	Heineken	Food, Drink & Tobacco
411.	BAE Systems	Aerospace & Defense
412.	Etisalat	Telecommunications Services
413.	BT Group	Telecommunications Services, Cable Supplier
414.	CTBC Financial	Banking
414.	Novatek	Oil & Gas Operations
416.	Greenland Holdings Group	Construction
417.	RWE Group	Utilities
418.	Daikin Industries	Engineering, Manufacturing
419.	Aegon	Insurance
420.	Baidu	IT Software & Services
421.	Ericsson	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
422.	Canon	Business Services & Supplies
423.	Lennar	1954
424.	Bank of Nanjing	Banking
425.	Philips	Health Care Equipment & Services
426.	Keurig Dr Pepper	Food, Drink & Tobacco
427.	China Yangtze Power	Utilities
428.	DNB Bank	Banking
429.	Emerson Electric	Capital Goods
430.	Imperial Brands	Food, Drink & Tobacco
431.	Boeing	Aerospace & Defense
432.	General Mills	Food, Soft Beverages, Alcohol & Tobacco
433.	Axis Bank	Banking
434.	National Bank of Canada	Banking and Financial Services
435.	The Estée Lauder Companies	Media & Advertising
436.	CNH Industrial	Capital Goods
437.	Fairfax Financial	Insurance
438.	Adidas	Clothing, Shoes, Sports Equipment
438.	Michelin Group	Automotive (Automotive and Suppliers)
440.	Norfolk Southern	Transportation
441.	Principal Financial Group	Banking and Financial Services
442.	Sempra	Oil & Gas Operations
443.	Fortum	Utilities
444.	Grupo Mexico	Materials
445.	D.R. Horton	1978
445.	L3Harris Technologies	Aerospace & Defense
447.	Naspers	Media
448.	Standard Bank Group	Banking
449.	TC Energy	Oil & Gas Operations
450.	Norilsk Nickel	Materials
451.	Naturgy Energy Group	Oil & Gas Operations
452.	Waste Management	Business Services & Supplies
453.	Henkel	Household & Personal Products
454.	MediaTek	Semiconductors
455.	Recruit Holdings 	Business Services & Supplies
456.	Hengli Petrochemical	Capital Goods
457.	Xcel Energy	Utilities
458.	Corteva	Chemicals
459.	Synchrony Financial	Business Services & Supplies
460.	Toyota Tsusho	Trading Companies
461.	Toyota Industries	Consumer Durables
462.	AstraZeneca	Drugs & Biotechnology
463.	Sunac China Holdings	Construction
464.	China Evergrande Group	Construction
465.	Bridgestone	Consumer Durables
466.	Emirates NBD	Banking
467.	Daiwa House Industry	Construction
468.	JD.com	Retailing
468.	Kinder Morgan	Construction, Oil & Gas Operations, Mining and Chemicals
470.	China National Building	Construction
471.	Fifth Third Bank	Banking
472.	FirstRand	Diversified Financials
473.	Carrefour	Retail and Wholesale
474.	Fujitsu	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
475.	SEB AB	Banking
476.	Surgutneftegas	Oil & Gas Operations
477.	New China Life Insurance	Insurance
478.	Barrick Gold	Materials
479.	DSV Panalpina	Transportation
480.	Talanx	Insurance
481.	Vodafone	Telecommunications Services, Cable Supplier
482.	Nintendo	IT, Internet, Software & Services
483.	Hana Financial Group	Banking
484.	Hyundai Mobis	Capital Goods
485.	NTPC	Utilities
486.	Maybank	Banking and Financial Services
487.	CME Group	Diversified Financials
488.	TAQA	Utilities
489.	Pernod Ricard	Food, Soft Beverages, Alcohol & Tobacco
490.	Bank Mandiri	Banking
491.	Femsa	Food, Drink & Tobacco
492.	Paccar	Automotive (Automotive and Suppliers)
493.	Consolidated Edison	Utilities
494.	Mitsui Fudosan	Construction
495.	Evergreen Marine Corp. (Taiwan)	Transportation
496.	Komatsu	Engineering, Manufacturing
497.	Shaanxi Coal Industry	Materials
498.	Lenovo Group	Technology Hardware & Equipment
499.	Fast Retailing	Retailing
500.	London Stock Exchange	Diversified Financials
501.	Vonovia	Construction
502.	Aviva	Insurance
